Postcode,ULEZ
NW11 9AT,Current ULEZ
NW11 9AH,Current ULEZ
N2 0RP,Current ULEZ
N2 0XA,Current ULEZ
NW11 8BS,Current ULEZ
NW11 6AT,Current ULEZ
NW11 6XX,Current ULEZ
NW11 7RJ,Current ULEZ
NW2 1SJ,Current ULEZ
N2 8JL,Current ULEZ
NW11 7XG,Current ULEZ
NW11 8SG,Current ULEZ
N2 8JS,Current ULEZ
NW11 8ER,Current ULEZ
NW11 7XN,Current ULEZ
NW11 0NU,Current ULEZ
NW11 6RA,Current ULEZ
N2 0SJ,Current ULEZ
N2 0LL,Current ULEZ
NW11 9NE,Current ULEZ
NW2 1XE,Current ULEZ
N2 8JD,Current ULEZ
N2 0BA,Current ULEZ
NW11 9JG,Current ULEZ
NW11 7YB,Current ULEZ
NW11 9PN,Current ULEZ
NW11 6DU,Current ULEZ
N10 2HP,Current ULEZ
NW2 2PJ,Current ULEZ
NW11 8BH,Current ULEZ
NW11 9HY,Current ULEZ
NW11 7TH,Current ULEZ
N10 1HJ,Current ULEZ
N2 8NH,Current ULEZ
N2 0SP,Current ULEZ
NW2 1PG,Current ULEZ
N2 8LH,Current ULEZ
N10 2NT,Current ULEZ
N2 8NG,Current ULEZ
NW2 2SS,Current ULEZ
NW11 8SJ,Current ULEZ
NW2 1BD,Current ULEZ
NW11 8QH,Current ULEZ
N10 2RW,Current ULEZ
NW11 0LR,Current ULEZ
NW2 2PE,Current ULEZ
NW11 0AA,Current ULEZ
NW11 8AJ,Current ULEZ
NW2 1XG,Current ULEZ
NW11 6XH,Current ULEZ
NW11 0DS,Current ULEZ
N2 0BG,Current ULEZ
NW2 6QH,Current ULEZ
NW11 0HA,Current ULEZ
NW11 9UD,Current ULEZ
NW11 9RG,Current ULEZ
NW11 6BS,Current ULEZ
NW11 9QY,Current ULEZ
NW11 6NP,Current ULEZ
NW11 6DA,Current ULEZ
NW11 8TB,Current ULEZ
NW11 9HE,Current ULEZ
NW2 6GR,Current ULEZ
NW11 7JD,Current ULEZ
NW2 2JN,Current ULEZ
NW11 7TA,Current ULEZ
NW11 0AZ,Current ULEZ
NW11 8BD,Current ULEZ
NW11 6SR,Current ULEZ
NW11 9RU,Current ULEZ
NW11 0EH,Current ULEZ
NW2 1SA,Current ULEZ
NW11 9UJ,Current ULEZ
NW11 8DN,Current ULEZ
N2 9BP,Current ULEZ
NW11 7SX,Current ULEZ
N2 0AG,Current ULEZ
NW11 0AS,Current ULEZ
N2 0FW,Current ULEZ
NW11 7RR,Current ULEZ
NW2 3EB,Current ULEZ
NW11 9ES,Current ULEZ
NW3 7NH,Current ULEZ
NW2 1QT,Current ULEZ
N2 0UR,Current ULEZ
N10 1AR,Current ULEZ
NW11 8BJ,Current ULEZ
NW2 1HT,Current ULEZ
NW11 0PB,Current ULEZ
NW2 1BP,Current ULEZ
NW11 8EN,Current ULEZ
N2 0NW,Current ULEZ
NW11 0NR,Current ULEZ
N2 8EH,Current ULEZ
NW2 3LP,Current ULEZ
NW11 0RX,Current ULEZ
NW2 1EH,Current ULEZ
NW2 2JJ,Current ULEZ
N2 0RX,Current ULEZ
N2 8EG,Current ULEZ
NW2 2TJ,Current ULEZ
NW11 9PR,Current ULEZ
NW2 1NH,Current ULEZ
NW2 6QE,Current ULEZ
N2 8EQ,Current ULEZ
N10 2LW,Current ULEZ
N2 8JZ,Current ULEZ
NW11 8DY,Current ULEZ
N10 1AN,Current ULEZ
NW11 0JN,Current ULEZ
NW11 7DD,Current ULEZ
NW11 8LN,Current ULEZ
N10 1AB,Current ULEZ
NW11 0EJ,Current ULEZ
NW11 8LX,Current ULEZ
N10 2RS,Current ULEZ
NW11 9QJ,Current ULEZ
N2 0DJ,Current ULEZ
NW11 9ND,Current ULEZ
N2 0NH,Current ULEZ
NW11 7RL,Current ULEZ
N10 2NW,Current ULEZ
NW11 9HH,Current ULEZ
NW11 0AP,Current ULEZ
NW11 9EU,Current ULEZ
NW11 8DG,Current ULEZ
N2 8EP,Current ULEZ
NW2 2TA,Current ULEZ
N2 9PU,Current ULEZ
NW11 8QP,Current ULEZ
N2 8JR,Current ULEZ
NW11 0LU,Current ULEZ
N2 8NS,Current ULEZ
N2 0QJ,Current ULEZ
NW11 9JE,Current ULEZ
N2 0QW,Current ULEZ
N2 0QU,Current ULEZ
NW11 0QD,Current ULEZ
NW2 2PX,Current ULEZ
NW11 9ST,Current ULEZ
NW2 1PA,Current ULEZ
NW11 0ET,Current ULEZ
NW2 2DN,Current ULEZ
NW2 2BN,Current ULEZ
N2 0HE,Current ULEZ
N2 0RR,Current ULEZ
NW11 9SX,Current ULEZ
NW11 8LB,Current ULEZ
NW2 1RJ,Current ULEZ
NW11 0JA,Current ULEZ
NW11 6QH,Current ULEZ
NW11 6DN,Current ULEZ
N2 0DL,Current ULEZ
NW2 3AE,Current ULEZ
NW11 7NB,Current ULEZ
NW11 7SG,Current ULEZ
NW11 8BL,Current ULEZ
N2 9QN,Current ULEZ
N2 9RB,Current ULEZ
N2 0EH,Current ULEZ
N2 0QB,Current ULEZ
NW11 8EE,Current ULEZ
N10 1AY,Current ULEZ
NW11 6QJ,Current ULEZ
NW11 0EA,Current ULEZ
NW11 9RX,Current ULEZ
NW11 8RY,Current ULEZ
NW11 7JF,Current ULEZ
NW11 9JS,Current ULEZ
NW2 2SB,Current ULEZ
N2 8NU,Current ULEZ
NW11 7NR,Current ULEZ
NW11 0HG,Current ULEZ
NW2 6GP,Current ULEZ
NW3 7NJ,Current ULEZ
NW11 6DT,Current ULEZ
N2 8LT,Current ULEZ
NW11 7LR,Current ULEZ
NW11 7LE,Current ULEZ
N2 9BD,Current ULEZ
NW11 6RY,Current ULEZ
NW11 9UB,Current ULEZ
NW11 8QS,Current ULEZ
N10 1AL,Current ULEZ
NW11 6TL,Current ULEZ
N2 0RA,Current ULEZ
N2 8EL,Current ULEZ
N2 8ND,Current ULEZ
N2 0RZ,Current ULEZ
NW11 9RT,Current ULEZ
NW11 8JL,Current ULEZ
NW11 7NN,Current ULEZ
NW2 2RL,Current ULEZ
NW11 7UB,Current ULEZ
NW11 9AE,Current ULEZ
N2 0QA,Current ULEZ
NW2 2TD,Current ULEZ
NW2 3AA,Current ULEZ
N2 0FD,Current ULEZ
NW2 1NN,Current ULEZ
N2 0SN,Current ULEZ
N2 8NA,Current ULEZ
NW11 9TL,Current ULEZ
NW11 8AX,Current ULEZ
NW11 9SU,Current ULEZ
NW11 0RY,Current ULEZ
N10 1AP,Current ULEZ
NW11 6SS,Current ULEZ
N2 0RD,Current ULEZ
NW11 8QY,Current ULEZ
NW11 9TT,Current ULEZ
NW11 0QX,Current ULEZ
N2 8ED,Current ULEZ
NW11 0SB,Current ULEZ
N2 0PN,Current ULEZ
N10 2NU,Current ULEZ
NW11 7XJ,Current ULEZ
N2 0AJ,Current ULEZ
NW11 7DA,Current ULEZ
N2 8JN,Current ULEZ
NW11 6DP,Current ULEZ
N2 0ED,Current ULEZ
NW3 7JJ,Current ULEZ
NW11 8BB,Current ULEZ
NW11 7LB,Current ULEZ
N2 8EE,Current ULEZ
N2 0DT,Current ULEZ
NW2 1PU,Current ULEZ
NW11 0DE,Current ULEZ
NW11 6QG,Current ULEZ
N2 0JA,Current ULEZ
NW2 1PB,Current ULEZ
NW2 2LU,Current ULEZ
NW2 1NT,Current ULEZ
N2 0QX,Current ULEZ
NW11 0LP,Current ULEZ
NW11 7HJ,Current ULEZ
N2 0QT,Current ULEZ
NW11 8EL,Current ULEZ
NW2 2HN,Current ULEZ
NW2 2SE,Current ULEZ
NW11 6RJ,Current ULEZ
N2 0LZ,Current ULEZ
NW11 9TB,Current ULEZ
NW11 9QH,Current ULEZ
N2 0UY,Current ULEZ
NW2 1JG,Current ULEZ
NW11 6PD,Current ULEZ
NW11 8PH,Current ULEZ
N2 8PB,Current ULEZ
NW11 8JX,Current ULEZ
NW11 8LL,Current ULEZ
NW2 2NL,Current ULEZ
NW11 8PR,Current ULEZ
N10 1AQ,Current ULEZ
NW3 7TF,Current ULEZ
NW11 7UF,Current ULEZ
NW11 7NU,Current ULEZ
NW11 0QB,Current ULEZ
NW11 9TN,Current ULEZ
NW2 3LN,Current ULEZ
NW11 0DA,Current ULEZ
NW2 1RU,Current ULEZ
NW11 0LA,Current ULEZ
N2 0LA,Current ULEZ
NW11 9AA,Current ULEZ
NW2 1EY,Current ULEZ
N2 0DS,Current ULEZ
NW11 6RN,Current ULEZ
NW2 2HJ,Current ULEZ
NW2 2SP,Current ULEZ
NW11 6BA,Current ULEZ
N2 0BE,Current ULEZ
N10 1LT,Current ULEZ
NW2 2RN,Current ULEZ
NW11 8ST,Current ULEZ
N2 8JB,Current ULEZ
NW11 8LE,Current ULEZ
NW11 6AY,Current ULEZ
NW11 0QN,Current ULEZ
NW11 7LS,Current ULEZ
NW2 2BL,Current ULEZ
N10 2EX,Current ULEZ
NW2 1EJ,Current ULEZ
NW11 7BG,Current ULEZ
NW11 6LR,Current ULEZ
N10 2NR,Current ULEZ
NW11 0SA,Current ULEZ
NW11 7JP,Current ULEZ
N2 0SU,Current ULEZ
NW11 9NS,Current ULEZ
NW2 2SR,Current ULEZ
NW11 6UL,Current ULEZ
NW2 2SA,Current ULEZ
NW11 7PT,Current ULEZ
N2 0JY,Current ULEZ
N2 8LP,Current ULEZ
NW11 8SR,Current ULEZ
NW11 7TY,Current ULEZ
NW11 6AN,Current ULEZ
NW11 9BN,Current ULEZ
N2 0SL,Current ULEZ
N10 2NE,Current ULEZ
NW11 6AU,Current ULEZ
N2 8DA,Current ULEZ
NW11 7EA,Current ULEZ
NW11 9QS,Current ULEZ
NW2 6GW,Current ULEZ
NW3 7HD,Current ULEZ
NW11 9HS,Current ULEZ
NW2 3AD,Current ULEZ
N2 0HN,Current ULEZ
NW2 1EF,Current ULEZ
NW11 8BG,Current ULEZ
NW2 1AS,Current ULEZ
NW11 8QN,Current ULEZ
N2 0HJ,Current ULEZ
NW11 7SP,Current ULEZ
NW11 6TG,Current ULEZ
NW2 1HG,Current ULEZ
NW11 7XY,Current ULEZ
N2 0RW,Current ULEZ
N2 8DG,Current ULEZ
NW11 8PN,Current ULEZ
NW2 2TQ,Current ULEZ
NW2 1RH,Current ULEZ
N10 1BA,Current ULEZ
N2 8BF,Current ULEZ
NW2 1NY,Current ULEZ
N10 2NH,Current ULEZ
NW11 7JE,Current ULEZ
NW2 1LZ,Current ULEZ
N2 0UA,Current ULEZ
NW2 1BA,Current ULEZ
N2 0EJ,Current ULEZ
N2 0FB,Current ULEZ
N2 0DQ,Current ULEZ
N10 2LP,Current ULEZ
NW11 0JY,Current ULEZ
NW11 0AB,Current ULEZ
N10 2AF,Current ULEZ
NW11 0AL,Current ULEZ
NW11 0EE,Current ULEZ
NW11 7TX,Current ULEZ
NW11 6AD,Current ULEZ
N2 9DF,Current ULEZ
N2 0HL,Current ULEZ
NW11 9JA,Current ULEZ
N2 0TG,Current ULEZ
NW2 1UT,Current ULEZ
NW11 8SN,Current ULEZ
NW11 8PA,Current ULEZ
NW11 8HL,Current ULEZ
NW11 9QR,Current ULEZ
NW11 7DB,Current ULEZ
N2 8EJ,Current ULEZ
N2 0GA,Current ULEZ
NW11 6QU,Current ULEZ
N2 0LS,Current ULEZ
NW11 9PX,Current ULEZ
NW11 7XR,Current ULEZ
NW2 2QH,Current ULEZ
NW3 7UL,Current ULEZ
NW2 2NH,Current ULEZ
NW2 1NU,Current ULEZ
N2 0ES,Current ULEZ
NW11 9ED,Current ULEZ
NW11 9NG,Current ULEZ
NW2 1PX,Current ULEZ
NW11 9HG,Current ULEZ
NW11 0NE,Current ULEZ
NW2 2QX,Current ULEZ
NW2 2BG,Current ULEZ
NW11 0LL,Current ULEZ
NW11 6DS,Current ULEZ
NW11 0AT,Current ULEZ
NW11 7NA,Current ULEZ
NW2 2HP,Current ULEZ
N10 1AG,Current ULEZ
NW2 1PJ,Current ULEZ
NW2 6QW,Current ULEZ
N2 0RG,Current ULEZ
N2 8NE,Current ULEZ
N2 8AX,Current ULEZ
NW2 1HD,Current ULEZ
NW11 9SG,Current ULEZ
NW11 9UH,Current ULEZ
NW2 2JL,Current ULEZ
NW2 2AT,Current ULEZ
NW11 6DL,Current ULEZ
NW2 2EL,Current ULEZ
NW2 1AA,Current ULEZ
N10 1AJ,Current ULEZ
N2 9JL,Current ULEZ
N10 2NG,Current ULEZ
NW11 7SA,Current ULEZ
NW11 0BH,Current ULEZ
NW11 6QX,Current ULEZ
NW2 2JG,Current ULEZ
NW11 8JP,Current ULEZ
NW11 7UE,Current ULEZ
NW2 2BT,Current ULEZ
NW11 6DH,Current ULEZ
NW2 3LJ,Current ULEZ
NW11 6BH,Current ULEZ
N2 0SH,Current ULEZ
NW11 0HH,Current ULEZ
NW11 9UE,Current ULEZ
N2 0BF,Current ULEZ
